class,class_id,precision,recall,f1_score,support,class_accuracy,roc_auc
N,0,0.9628042722305017,0.9956334681821101,0.978943713104145,15573,0.9956334681821101,0.8817332662770047
S,1,0.0,0.0,0.0,401,0.0,0.24505116902383514
V,2,0.42594075260208164,0.8580645161290322,0.5692883895131086,620,0.8580645161290322,0.9692828690333862
F,3,0.0,0.0,0.0,17,0.0,0.8461634735727352
Q,4,0.9989939637826962,0.5720046082949308,0.7274725274725274,1736,0.5720046082949308,0.9979780277185708
