class,precision,recall,f1_score,support
N,0.9628042722305017,0.9956334681821101,0.978943713104145,15573.0
S,0.0,0.0,0.0,401.0
V,0.42594075260208164,0.8580645161290322,0.5692883895131086,620.0
F,0.0,0.0,0.0,17.0
Q,0.9989939637826962,0.5720046082949308,0.7274725274725274,1736.0
macro avg,0.4775477977230559,0.4851405185212146,0.4551409260179562,18347.0
weighted avg,0.9261507450365538,0.9282171472175288,0.9190026463923957,18347.0
