rank,feature_index,feature_name,mean_abs_shap
1,65,ECG sample 065,0.09909198433160782
2,74,ECG sample 074,0.08415203541517258
3,69,ECG sample 069,0.0820753425359726
4,59,ECG sample 059,0.07966950535774231
5,60,ECG sample 060,0.07731471955776215
6,66,ECG sample 066,0.07557309418916702
7,64,ECG sample 064,0.07248295098543167
8,67,ECG sample 067,0.06858585774898529
9,61,ECG sample 061,0.06821535527706146
10,71,ECG sample 071,0.06568703800439835
11,76,ECG sample 076,0.05910034477710724
12,62,ECG sample 062,0.05472002923488617
13,57,ECG sample 057,0.05468844249844551
14,56,ECG sample 056,0.047872718423604965
15,70,ECG sample 070,0.04764938727021217
16,58,ECG sample 058,0.04584606736898422
17,82,ECG sample 082,0.04420853778719902
18,83,ECG sample 083,0.04242014139890671
19,77,ECG sample 077,0.04102798178792
20,81,ECG sample 081,0.04073011875152588
21,63,ECG sample 063,0.04043443128466606
22,205,ECG sample 205,0.03909780830144882
23,68,ECG sample 068,0.03866236284375191
24,55,ECG sample 055,0.035925719887018204
25,78,ECG sample 078,0.03589111194014549
26,84,ECG sample 084,0.0358412005007267
27,85,ECG sample 085,0.03504923731088638
28,75,ECG sample 075,0.0335821732878685
29,203,ECG sample 203,0.03248600289225578
30,208,ECG sample 208,0.032399602234363556
31,196,ECG sample 196,0.031738489866256714
32,199,ECG sample 199,0.030681895092129707
33,200,ECG sample 200,0.030539805069565773
34,195,ECG sample 195,0.030027147382497787
35,207,ECG sample 207,0.02973814122378826
36,53,ECG sample 053,0.029292412102222443
37,206,ECG sample 206,0.02857419289648533
38,189,ECG sample 189,0.028476256877183914
39,72,ECG sample 072,0.028293829411268234
40,201,ECG sample 201,0.028170712292194366
41,80,ECG sample 080,0.027190102264285088
42,211,ECG sample 211,0.026907378807663918
43,197,ECG sample 197,0.026811935007572174
44,215,ECG sample 215,0.026470189914107323
45,192,ECG sample 192,0.02643091231584549
46,204,ECG sample 204,0.026114020496606827
47,193,ECG sample 193,0.02606687881052494
48,188,ECG sample 188,0.025658098980784416
49,86,ECG sample 086,0.02411729469895363
50,202,ECG sample 202,0.02379569038748741
51,191,ECG sample 191,0.023622816428542137
52,54,ECG sample 054,0.02358086034655571
53,185,ECG sample 185,0.023298026993870735
54,210,ECG sample 210,0.02298738993704319
55,52,ECG sample 052,0.022692371159791946
56,181,ECG sample 181,0.022199438884854317
57,73,ECG sample 073,0.021421629935503006
58,184,ECG sample 184,0.021383855491876602
59,177,ECG sample 177,0.021348407492041588
60,213,ECG sample 213,0.02099415473639965
61,209,ECG sample 209,0.02085774578154087
62,212,ECG sample 212,0.020659849047660828
63,176,ECG sample 176,0.020254284143447876
64,194,ECG sample 194,0.02023233473300934
65,198,ECG sample 198,0.020209068432450294
66,87,ECG sample 087,0.019719256088137627
67,180,ECG sample 180,0.019713709130883217
68,88,ECG sample 088,0.01946413889527321
69,187,ECG sample 187,0.019447557628154755
70,51,ECG sample 051,0.019301973283290863
71,173,ECG sample 173,0.01809573918581009
72,183,ECG sample 183,0.017990490421652794
73,190,ECG sample 190,0.01758294180035591
74,79,ECG sample 079,0.01751001365482807
75,89,ECG sample 089,0.017270881682634354
76,172,ECG sample 172,0.017212335020303726
77,186,ECG sample 186,0.016250308603048325
78,169,ECG sample 169,0.015779392793774605
79,174,ECG sample 174,0.015674136579036713
80,175,ECG sample 175,0.015618544071912766
81,168,ECG sample 168,0.015556888654828072
82,179,ECG sample 179,0.015334848314523697
83,214,ECG sample 214,0.015258433297276497
84,182,ECG sample 182,0.01507906336337328
85,50,ECG sample 050,0.014981184154748917
86,91,ECG sample 091,0.014541959390044212
87,49,ECG sample 049,0.014539373107254505
88,178,ECG sample 178,0.014536458998918533
89,2,ECG sample 002,0.014386649243533611
90,110,ECG sample 110,0.014170309528708458
